"Time","mppt.I { device: biggy }"
2025-03-11 12:02:20,24.790 A
2025-03-11 12:02:22,24.732 A
2025-03-11 12:02:24,24.252 A
2025-03-11 12:02:26,24.088 A
2025-03-11 12:02:28,24.146 A
2025-03-11 12:02:30,23.958 A
2025-03-11 12:02:32,23.351 A
2025-03-11 12:02:34,22.948 A
2025-03-11 12:02:36,23.007 A
2025-03-11 12:02:38,23.190 A
2025-03-11 12:02:40,23.343 A
2025-03-11 12:02:42,23.364 A
2025-03-11 12:02:44,23.386 A
2025-03-11 12:02:46,23.457 A
2025-03-11 12:02:48,23.410 A
2025-03-11 12:02:50,23.617 A
2025-03-11 12:02:52,24.295 A
2025-03-11 12:02:54,21.869 A
2025-03-11 12:02:56,15.762 A
2025-03-11 12:02:58,9.768 A
2025-03-11 12:03:00,7.580 A
2025-03-11 12:03:02,6.985 A
2025-03-11 12:03:04,6.775 A
2025-03-11 12:03:06,7.411 A
2025-03-11 12:03:08,8.440 A
2025-03-11 12:03:10,9.174 A
2025-03-11 12:03:12,8.932 A
2025-03-11 12:03:14,7.439 A
2025-03-11 12:03:16,6.404 A
2025-03-11 12:03:18,6.117 A
2025-03-11 12:03:20,6.028 A
2025-03-11 12:03:22,5.957 A
2025-03-11 12:03:24,5.885 A
2025-03-11 12:03:26,5.844 A
2025-03-11 12:03:28,5.840 A
2025-03-11 12:03:30,5.835 A
2025-03-11 12:03:32,5.926 A
2025-03-11 12:03:34,5.991 A
2025-03-11 12:03:36,6.117 A
2025-03-11 12:03:38,6.136 A
2025-03-11 12:03:40,6.300 A
2025-03-11 12:03:42,6.729 A
2025-03-11 12:03:44,7.448 A
2025-03-11 12:03:46,7.208 A
2025-03-11 12:03:48,7.391 A
2025-03-11 12:03:50,7.134 A
2025-03-11 12:03:52,6.563 A
2025-03-11 12:03:54,6.271 A
2025-03-11 12:03:56,6.310 A
2025-03-11 12:03:58,6.815 A
2025-03-11 12:04:00,8.003 A
2025-03-11 12:04:02,12.054 A
2025-03-11 12:04:04,11.560 A
2025-03-11 12:04:06,12.338 A
2025-03-11 12:04:08,15.778 A
2025-03-11 12:04:10,22.838 A
2025-03-11 12:04:12,19.525 A
2025-03-11 12:04:14,15.293 A
2025-03-11 12:04:16,17.730 A
2025-03-11 12:04:18,27.426 A
2025-03-11 12:04:20,27.040 A
2025-03-11 12:04:22,27.478 A
2025-03-11 12:04:24,27.648 A
2025-03-11 12:04:26,27.462 A
2025-03-11 12:04:28,26.947 A
2025-03-11 12:04:30,25.343 A
2025-03-11 12:04:32,26.667 A
2025-03-11 12:04:34,27.405 A
2025-03-11 12:04:36,27.290 A
2025-03-11 12:04:38,24.555 A
2025-03-11 12:04:40,26.086 A
2025-03-11 12:04:42,24.461 A
2025-03-11 12:04:44,27.176 A
2025-03-11 12:04:46,27.373 A
2025-03-11 12:04:48,26.879 A
2025-03-11 12:04:50,24.833 A
2025-03-11 12:04:52,21.703 A
2025-03-11 12:04:54,19.041 A
2025-03-11 12:04:56,19.614 A
2025-03-11 12:04:58,21.920 A
2025-03-11 12:05:00,18.150 A
2025-03-11 12:05:02,15.816 A
2025-03-11 12:05:04,16.846 A
2025-03-11 12:05:06,24.722 A
2025-03-11 12:05:08,26.273 A
2025-03-11 12:05:10,25.686 A
2025-03-11 12:05:12,25.690 A
2025-03-11 12:05:14,25.952 A
2025-03-11 12:05:16,25.741 A
2025-03-11 12:05:18,10.081 A
2025-03-11 12:05:20,8.617 A
2025-03-11 12:05:22,11.682 A
2025-03-11 12:05:24,13.136 A
2025-03-11 12:05:26,10.110 A
2025-03-11 12:05:28,9.699 A
2025-03-11 12:05:30,12.188 A
2025-03-11 12:05:32,15.473 A
2025-03-11 12:05:34,20.573 A
2025-03-11 12:05:36,11.876 A
2025-03-11 12:05:38,10.746 A
2025-03-11 12:05:40,11.432 A
2025-03-11 12:05:42,9.779 A
2025-03-11 12:05:44,11.447 A
2025-03-11 12:05:46,8.746 A
2025-03-11 12:05:48,8.301 A
2025-03-11 12:05:50,8.674 A
2025-03-11 12:05:52,13.881 A
2025-03-11 12:05:54,19.735 A
2025-03-11 12:05:56,14.826 A
2025-03-11 12:05:58,15.948 A
2025-03-11 12:06:00,20.626 A
2025-03-11 12:06:02,26.568 A
2025-03-11 12:06:04,27.906 A
2025-03-11 12:06:06,26.777 A
2025-03-11 12:06:08,23.930 A
2025-03-11 12:06:10,19.098 A
2025-03-11 12:06:12,16.174 A
2025-03-11 12:06:14,12.970 A
2025-03-11 12:06:16,10.297 A
2025-03-11 12:06:18,8.207 A
2025-03-11 12:06:20,6.874 A
2025-03-11 12:06:22,6.243 A
2025-03-11 12:06:24,5.938 A
2025-03-11 12:06:26,5.892 A
2025-03-11 12:06:28,6.020 A
2025-03-11 12:06:30,6.131 A
2025-03-11 12:06:32,6.117 A
2025-03-11 12:06:34,6.137 A
2025-03-11 12:06:36,6.114 A
