"Time","mppt.I { device: flat }"
2026-05-19 15:35:19,20.410 A
2026-05-19 15:35:20,20.398 A
2026-05-19 15:35:21,20.412 A
2026-05-19 15:35:22,20.382 A
2026-05-19 15:35:23,20.385 A
2026-05-19 15:35:24,20.394 A
2026-05-19 15:35:25,20.395 A
2026-05-19 15:35:26,20.410 A
2026-05-19 15:35:27,20.438 A
2026-05-19 15:35:28,20.453 A
2026-05-19 15:35:29,20.506 A
2026-05-19 15:35:30,20.537 A
2026-05-19 15:35:31,20.574 A
2026-05-19 15:35:32,20.551 A
2026-05-19 15:35:33,20.573 A
2026-05-19 15:35:34,20.544 A
2026-05-19 15:35:35,20.524 A
2026-05-19 15:35:36,20.508 A
2026-05-19 15:35:37,20.531 A
2026-05-19 15:35:38,20.479 A
2026-05-19 15:35:39,20.438 A
2026-05-19 15:35:40,20.424 A
2026-05-19 15:35:41,20.440 A
2026-05-19 15:35:42,20.433 A
2026-05-19 15:35:43,20.447 A
2026-05-19 15:35:44,20.425 A
2026-05-19 15:35:45,20.407 A
2026-05-19 15:35:46,20.419 A
2026-05-19 15:35:47,20.479 A
2026-05-19 15:35:48,20.529 A
2026-05-19 15:35:49,20.541 A
2026-05-19 15:35:50,20.525 A
2026-05-19 15:35:51,20.510 A
2026-05-19 15:35:52,20.548 A
2026-05-19 15:35:53,20.509 A
2026-05-19 15:35:54,20.506 A
2026-05-19 15:35:55,20.507 A
2026-05-19 15:35:56,20.496 A
2026-05-19 15:35:57,20.520 A
2026-05-19 15:35:58,20.516 A
2026-05-19 15:35:59,20.501 A
2026-05-19 15:36:00,20.485 A
2026-05-19 15:36:01,20.477 A
2026-05-19 15:36:02,20.506 A
2026-05-19 15:36:03,20.526 A
2026-05-19 15:36:04,20.549 A
2026-05-19 15:36:05,20.518 A
2026-05-19 15:36:06,20.519 A
2026-05-19 15:36:07,20.526 A
2026-05-19 15:36:08,20.509 A
2026-05-19 15:36:09,20.483 A
2026-05-19 15:36:10,20.473 A
2026-05-19 15:36:11,20.477 A
2026-05-19 15:36:12,20.465 A
2026-05-19 15:36:13,20.433 A
2026-05-19 15:36:14,20.470 A
2026-05-19 15:36:15,20.458 A
2026-05-19 15:36:16,20.418 A
2026-05-19 15:36:17,20.372 A
2026-05-19 15:36:18,20.378 A
2026-05-19 15:36:19,20.386 A
2026-05-19 15:36:20,20.377 A
2026-05-19 15:36:21,20.376 A
2026-05-19 15:36:22,20.457 A
2026-05-19 15:36:23,20.485 A
2026-05-19 15:36:24,20.445 A
2026-05-19 15:36:25,20.458 A
2026-05-19 15:36:26,20.451 A
2026-05-19 15:36:27,20.421 A
2026-05-19 15:36:28,20.403 A
2026-05-19 15:36:29,20.373 A
2026-05-19 15:36:30,20.338 A
